,vectorized
0,"  (0, 30)	0.582395312959625
  (0, 103)	0.26362864917833173
  (0, 166)	0.4075893091827113
  (0, 163)	0.2167426343050124
  (0, 25)	0.17961024380914373
  (0, 63)	0.18995954475915716
  (0, 0)	0.11928496999457286
  (0, 164)	0.3334551704621579
  (0, 197)	0.42636396892197204
  (0, 117)	0.2736334850951265
  (0, 167)	0.10442463465794063
  (0, 17)	0.28344299616246493
  (0, 156)	0.21857313800224681
  (0, 75)	0.1007285924518975"
1475,"  (0, 170)	0.5427412836054067
  (0, 140)	0.5273392211722048
  (0, 99)	0.36824209799144786
  (0, 96)	0.4465905295633403
  (0, 199)	0.3038089877785712"
1476,"  (0, 85)	0.4375392091880307
  (0, 51)	0.4504642963183455
  (0, 114)	0.2995197504458811
  (0, 25)	0.30533876233750407
  (0, 0)	0.20278534414947982
  (0, 122)	0.34999226032681274
  (0, 155)	0.2693273953852336
  (0, 120)	0.3471488462920516
  (0, 167)	0.17752266255973095
  (0, 156)	0.18578798742890223"
1477,"  (0, 101)	0.4004190375784544
  (0, 175)	0.47031893742721675
  (0, 14)	0.3495184023085269
  (0, 95)	0.3128483132132788
  (0, 52)	0.27965899741340416
  (0, 27)	0.49863989190584346
  (0, 17)	0.1749712148277303
  (0, 156)	0.20238994084920744"
1478,"  (0, 143)	0.37327632268109245
  (0, 69)	0.35308963508944397
  (0, 173)	0.37473386132417846
  (0, 63)	0.2873110188773404
  (0, 96)	0.2962649386706506
  (0, 197)	0.32243461753625124
  (0, 199)	0.4030893857951591
  (0, 66)	0.22315066946135872
  (0, 17)	0.28580224322441566
  (0, 156)	0.16529432900637597"
1479,"  (0, 55)	0.27094826358981916
  (0, 5)	0.26304958219507496
  (0, 157)	0.2609915956663379
  (0, 71)	0.2599915468676359
  (0, 94)	0.20497663930829477
  (0, 185)	0.2721782270224783
  (0, 141)	0.1711803236709936
  (0, 49)	0.18411701025408111
  (0, 74)	0.44097233505796046
  (0, 199)	0.1409183165425717
  (0, 88)	0.21018223350046641
  (0, 79)	0.14457130641952706
  (0, 10)	0.1263084672741486
  (0, 167)	0.11043079691414097
  (0, 17)	0.19983047134732543
  (0, 156)	0.11557237376351782
  (0, 75)	0.4260886819643534"
1480,"  (0, 63)	1.0"
1481,"  (0, 121)	0.5358863225016817
  (0, 114)	0.393919463228392
  (0, 100)	0.5987228441337951
  (0, 199)	0.29792916357234955
  (0, 156)	0.2443428327291558
  (0, 75)	0.22520891488746705"
1482,"  (0, 37)	0.3844103590255469
  (0, 121)	0.3775942068143832
  (0, 76)	0.3179034987616733
  (0, 141)	0.2550069777523233
  (0, 49)	0.2742787332726757
  (0, 152)	0.3844103590255469
  (0, 10)	0.18816146513436438
  (0, 66)	0.2324301672046379
  (0, 167)	0.3290170642039449
  (0, 17)	0.14884352204826018
  (0, 75)	0.3173717186416684"
1483,"  (0, 24)	0.5008298416195992
  (0, 195)	0.47725309064352944
  (0, 56)	0.32792368987702686
  (0, 193)	0.3103717926148365
  (0, 0)	0.21809111042129758
  (0, 197)	0.3897649109944661
  (0, 10)	0.2183722563264638
  (0, 167)	0.19092166036445957
  (0, 75)	0.18416411204201286"
1484,"  (0, 105)	0.5238315797542069
  (0, 117)	0.5225835394407403
  (0, 17)	0.3608784553853741
  (0, 156)	0.41742962870269656
  (0, 75)	0.3847416872105171"
1485,"  (0, 157)	0.3048264140680276
  (0, 192)	0.3150510959613037
  (0, 114)	0.21761455674302488
  (0, 0)	0.44199799227307673
  (0, 196)	0.29812498221672756
  (0, 52)	0.1865176696927799
  (0, 41)	0.21939155280909764
  (0, 155)	0.39135690837256437
  (0, 117)	0.33797342905322575
  (0, 120)	0.2522192349494065
  (0, 66)	0.1822301984765861
  (0, 17)	0.11669648949195156
  (0, 75)	0.12441309141254288"
1486,"  (0, 51)	0.5404760552287147
  (0, 154)	0.50736125228423
  (0, 48)	0.5462103662330949
  (0, 199)	0.27179854441967377
  (0, 105)	0.2797319797160136"
1487,"  (0, 45)	0.7113372812712563
  (0, 56)	0.5359492659844621
  (0, 0)	0.35644198377940767
  (0, 17)	0.28232387211097554"
1488,"  (0, 19)	0.32162814080374397
  (0, 131)	0.27284915722908076
  (0, 147)	0.33076268769641576
  (0, 35)	0.2332392152657353
  (0, 15)	0.28841993371231806
  (0, 159)	0.27060027697560685
  (0, 56)	0.21657040377684778
  (0, 4)	0.2193688021094094
  (0, 141)	0.19545426594225618
  (0, 96)	0.23651987902936264
  (0, 200)	0.2209807077970797
  (0, 199)	0.16090100501611568
  (0, 79)	0.16507200107210568
  (0, 77)	0.3416578191373744
  (0, 167)	0.25218050632684036
  (0, 17)	0.11408355017821728
  (0, 156)	0.1319609228019012"
1489,"  (0, 148)	0.3138225362333702
  (0, 80)	0.3496633400923312
  (0, 182)	0.29893568894572586
  (0, 14)	0.2409129005295311
  (0, 82)	0.32142877533026143
  (0, 38)	0.31147397223675743
  (0, 114)	0.2248986085368296
  (0, 95)	0.21563727135446312
  (0, 99)	0.20616985466814597
  (0, 164)	0.212823510183981
  (0, 105)	0.3501203341730811
  (0, 10)	0.3049210178198851
  (0, 17)	0.12060258514261309
  (0, 75)	0.12857747919633652"
1490,"  (0, 37)	0.4301057005040139
  (0, 182)	0.41279193563537914
  (0, 56)	0.3161448655457427
  (0, 155)	0.558502687353157
  (0, 10)	0.21052845447408727
  (0, 177)	0.3960974405936386
  (0, 75)	0.17754904643122008"
1491,"  (0, 59)	0.6812045645603473
  (0, 154)	0.6257974892801824
  (0, 52)	0.37991820650340996"
1492,"  (0, 33)	0.280232558936607
  (0, 67)	0.26748406144361464
  (0, 166)	0.22584248466081852
  (0, 183)	0.2790522101057803
  (0, 100)	0.2967603473512026
  (0, 134)	0.1733963524570404
  (0, 25)	0.19904164716061692
  (0, 0)	0.13218999320803684
  (0, 99)	0.17898880877488507
  (0, 83)	0.23410934810186693
  (0, 41)	0.19684275754232985
  (0, 122)	0.22814999135915373
  (0, 150)	0.16485544611460418
  (0, 155)	0.17556686217160042
  (0, 158)	0.27456465583222417
  (0, 181)	0.2320517043708885
  (0, 79)	0.15149828566481374
  (0, 136)	0.26292345895305913
  (0, 167)	0.1157219702265335
  (0, 17)	0.10470256713617972
  (0, 156)	0.12110990022167448
  (0, 75)	0.22325213231268368"
1493,"  (0, 54)	0.38216186008638514
  (0, 14)	0.3311478384478208
  (0, 94)	0.34008786559445736
  (0, 134)	0.27453714479666486
  (0, 193)	0.2978543974705747
  (0, 0)	0.2092954251446333
  (0, 26)	0.3942851923570221
  (0, 146)	0.4046051684728255
  (0, 167)	0.18322172782791551
  (0, 156)	0.19175239699292454
  (0, 75)	0.1767367136228442"
1494,"  (0, 29)	0.37934590825372794
  (0, 2)	0.39350657509079895
  (0, 106)	0.37464996543887075
  (0, 159)	0.33618578847561686
  (0, 134)	0.2347236062087252
  (0, 4)	0.27253731787847135
  (0, 193)	0.25465937715350506
  (0, 0)	0.17894327920297304
  (0, 52)	0.22653553202229812
  (0, 199)	0.19989865436367676
  (0, 156)	0.3278887026721431
  (0, 75)	0.151106251220606"
1495,"  (0, 9)	0.37917204179178365
  (0, 76)	0.35387800191997265
  (0, 52)	0.26481975906030025
  (0, 122)	0.3610366772308025
  (0, 27)	0.4721811107588217
  (0, 158)	0.43448571019508797
  (0, 199)	0.23368128175078717
  (0, 17)	0.1656869093493599
  (0, 156)	0.1916507456139032"
1496,"  (0, 35)	0.3401558901794435
  (0, 84)	0.4453082223873123
  (0, 169)	0.4823840465392284
  (0, 105)	0.4830145005463839
  (0, 117)	0.24093185391301672
  (0, 10)	0.21032950496322605
  (0, 119)	0.3000473808340017
  (0, 17)	0.16637936086986846"
1497,"  (0, 19)	0.44128357902128246
  (0, 13)	0.3775608104622097
  (0, 35)	0.32001128826405506
  (0, 84)	0.41893632312397927
  (0, 118)	0.42639138143306754
  (0, 105)	0.22720478614750228
  (0, 10)	0.19787343916848196
  (0, 77)	0.23438245306020117
  (0, 17)	0.15652609626847602
  (0, 156)	0.18105439455469516"
1498,"  (0, 22)	0.5762729244905486
  (0, 63)	0.41312340419006716
  (0, 99)	0.3512624306336623
  (0, 167)	0.22710235806202045
  (0, 23)	0.5676951586877612"
1499,"  (0, 6)	0.3425699886740956
  (0, 54)	0.6182549284343613
  (0, 114)	0.5001138494631902
  (0, 133)	0.33672917133677555
  (0, 25)	0.25491498239366817
  (0, 17)	0.268187622428118"
1500,"  (0, 111)	0.569617779145059
  (0, 191)	0.46494829513149283
  (0, 100)	0.5786073524571492
  (0, 199)	0.28791953780178114
  (0, 17)	0.2041434298984566"
1501,"  (0, 5)	0.5416117307789182
  (0, 4)	0.3955797021188911
  (0, 0)	0.2597307760798261
  (0, 155)	0.3449589205588768
  (0, 77)	0.3080494970600822
  (0, 17)	0.20572267506688013
  (0, 156)	0.47592056875320826"
1502,"  (0, 11)	0.3081523142528047
  (0, 31)	0.25569695422423544
  (0, 15)	0.2702889000528509
  (0, 36)	0.28614570285306734
  (0, 52)	0.170878787990926
  (0, 49)	0.1970099508954225
  (0, 105)	0.15518748228598422
  (0, 117)	0.15481774468037982
  (0, 79)	0.3093900551534377
  (0, 120)	0.23107149712487296
  (0, 77)	0.16009003771078947
  (0, 66)	0.16695080687162547
  (0, 58)	0.2099128646500841
  (0, 17)	0.10691187982364349
  (0, 81)	0.1949922087545153
  (0, 177)	0.2542833637136944
  (0, 75)	0.45592588210644086"
1503,
1504,"  (0, 33)	0.4448637905844604
  (0, 157)	0.4341707892179424
  (0, 125)	0.35924125745051466
  (0, 4)	0.31960799278226387
  (0, 117)	0.2406913962416426
  (0, 10)	0.42023917882347983
  (0, 156)	0.3845192685273078"
1505,"  (0, 199)	0.38718125577940204
  (0, 17)	0.27452291063906326
  (0, 30)	0.5126163505075932
  (0, 172)	0.501969363591119
  (0, 130)	0.5098814390773069"
1506,"  (0, 94)	0.6329199422132831
  (0, 105)	0.4478234691958004
  (0, 117)	0.4467565198852318
  (0, 79)	0.44640239596826636"
1507,"  (0, 135)	0.3470071107246362
  (0, 126)	0.3164567088576542
  (0, 16)	0.34214327003993544
  (0, 161)	0.36201436673840603
  (0, 1)	0.2814642530798499
  (0, 121)	0.318626375046448
  (0, 61)	0.3143548559531661
  (0, 56)	0.23843083343672317
  (0, 0)	0.1585723960424773
  (0, 155)	0.21060639557183544
  (0, 10)	0.15877681510262887
  (0, 17)	0.12559904528062976
  (0, 156)	0.29056188893803003"
1508,"  (0, 73)	0.45041613142231157
  (0, 188)	0.2503286086680525
  (0, 108)	0.20402274839858323
  (0, 159)	0.416701705375593
  (0, 113)	0.19023391014217048
  (0, 0)	0.11089994307535685
  (0, 52)	0.4211856022374906
  (0, 79)	0.25419702124957105
  (0, 10)	0.11104290655891458
  (0, 17)	0.35135817631739186
  (0, 156)	0.3048131113671001"
1509,"  (0, 59)	0.3987344214083149
  (0, 6)	0.355446854318801
  (0, 191)	0.3168862160261101
  (0, 134)	0.23041817033349224
  (0, 4)	0.26753828107647915
  (0, 52)	0.44476057306043437
  (0, 164)	0.24552576962956607
  (0, 199)	0.19623199785728837
  (0, 77)	0.41667978659409866
  (0, 17)	0.13913426439991186"
1510,"  (0, 28)	0.3928080429665906
  (0, 150)	0.33650566806697335
  (0, 105)	0.31022524516025485
  (0, 79)	0.3092408108446659
  (0, 10)	0.2701762459215691
  (0, 119)	0.38542226858045153
  (0, 66)	0.33374054549069776
  (0, 75)	0.45570595149783616"
1511,"  (0, 139)	0.47080074978214165
  (0, 14)	0.3353324055612489
  (0, 166)	0.36209322439987035
  (0, 1)	0.37619151229623454
  (0, 106)	0.4437349541164603
  (0, 0)	0.21194019781522158
  (0, 52)	0.26830840299133535
  (0, 10)	0.21221341444766825
  (0, 167)	0.1855370188481677"
1512,"  (0, 85)	0.5594149632726545
  (0, 149)	0.28507574724445833
  (0, 170)	0.2587083155871026
  (0, 153)	0.26821139497704577
  (0, 151)	0.25784245438020104
  (0, 8)	0.512301192533311
  (0, 79)	0.14857057626486816
  (0, 167)	0.34045691793042776"
1513,"  (0, 194)	0.41678765515277416
  (0, 114)	0.3063723825447807
  (0, 134)	0.2720834276267711
  (0, 197)	0.37070247691396063
  (0, 110)	0.39629593547649544
  (0, 169)	0.4763354975364831
  (0, 167)	0.18158415598020824
  (0, 58)	0.3225763713529631"
1514,"  (0, 171)	0.1702542601094655
  (0, 6)	0.17603103194793102
  (0, 129)	0.19425833801566372
  (0, 178)	0.19324742550335988
  (0, 54)	0.15884644986039967
  (0, 194)	0.17480105143360403
  (0, 14)	0.27528471053857256
  (0, 28)	0.3799302448815502
  (0, 38)	0.17795647742198153
  (0, 25)	0.13098913767497597
  (0, 63)	0.13853684752843842
  (0, 0)	0.26098236424272975
  (0, 99)	0.1177923818926896
  (0, 42)	0.14087281729880255
  (0, 83)	0.15406716165671863
  (0, 74)	0.1520541534521531
  (0, 150)	0.10849122801998287
  (0, 155)	0.23108080352250654
  (0, 199)	0.09718167614740246
  (0, 186)	0.15045667456924608
  (0, 105)	0.10001827904883236
  (0, 79)	0.19940178431559577
  (0, 91)	0.1836440206835509
  (0, 10)	0.1742125347857506
  (0, 89)	0.13634000835230714
  (0, 120)	0.29785100111459584
  (0, 119)	0.12426220177729247
  (0, 167)	0.07615652958192633
  (0, 17)	0.06890466983755014
  (0, 156)	0.07970232170123662
  (0, 75)	0.1469220372364579"
1515,"  (0, 33)	0.43966836349055843
  (0, 188)	0.46814928771139086
  (0, 3)	0.42117038124613293
  (0, 118)	0.44749235273561017
  (0, 41)	0.3088346814589196
  (0, 105)	0.23844854453723735
  (0, 17)	0.1642721549584043
  (0, 75)	0.1751347167370011"
1516,"  (0, 80)	0.6198841478571401
  (0, 54)	0.49288534181199406
  (0, 79)	0.3093623329532643
  (0, 10)	0.27028241686002935
  (0, 77)	0.3201513864059027
  (0, 167)	0.23630642766767182
  (0, 17)	0.21380460045012456"
1517,"  (0, 79)	0.6873377158572189
  (0, 17)	0.4750286316704068
  (0, 156)	0.5494676182028582"
1518,"  (0, 143)	0.2542297176961207
  (0, 44)	0.2789209539676072
  (0, 18)	0.2542297176961207
  (0, 16)	0.5302530423808587
  (0, 80)	0.2821791977217714
  (0, 168)	0.21523696774083628
  (0, 0)	0.12287761122603942
  (0, 141)	0.33349062640042904
  (0, 105)	0.2825479930980197
  (0, 10)	0.24607203075449952
  (0, 66)	0.15198266874625738
  (0, 17)	0.29197977154020127
  (0, 75)	0.1037623501369331"
1519,"  (0, 108)	0.6335836703207499
  (0, 105)	0.3959553143519641
  (0, 117)	0.39501194206640156
  (0, 10)	0.3448388616118149
  (0, 77)	0.40846400929154314"
1520,"  (0, 1)	0.3178711668829488
  (0, 163)	0.3253974166316355
  (0, 187)	0.2763972633371505
  (0, 65)	0.4020339874169467
  (0, 196)	0.36237214557977965
  (0, 99)	0.2424838262155539
  (0, 96)	0.29407550345496936
  (0, 105)	0.20589459696426268
  (0, 79)	0.4104824678653949
  (0, 167)	0.15677352293586302
  (0, 17)	0.14184506432300584
  (0, 75)	0.15122462578665036"
1521,"  (0, 35)	0.41284502866770206
  (0, 4)	0.3882937064956047
  (0, 164)	0.3563456816200339
  (0, 119)	0.3641655873627095
  (0, 30)	0.3770703420344164
  (0, 172)	0.3692386312545016
  (0, 130)	0.3750585958475639"
1522,"  (0, 111)	0.32261113261553004
  (0, 132)	0.2773014678092048
  (0, 72)	0.3294971280087893
  (0, 187)	0.22529457334816635
  (0, 198)	0.3294971280087893
  (0, 48)	0.32770250534672635
  (0, 164)	0.20403008275957768
  (0, 197)	0.2608778737612171
  (0, 137)	0.2639586161210676
  (0, 146)	0.28219165194635926
  (0, 10)	0.14616115589660203
  (0, 77)	0.17312889696120848
  (0, 124)	0.3149581744598946
  (0, 167)	0.12778789317837957
  (0, 156)	0.13373760368990867"
1523,"  (0, 18)	0.5318495192268613
  (0, 168)	0.45027654064282513
  (0, 186)	0.4445870087803893
  (0, 79)	0.2946078766134838
  (0, 17)	0.20360759096784173
  (0, 75)	0.4341424482887605"
1524,"  (0, 129)	0.32849804348103173
  (0, 94)	0.23904211673380293
  (0, 187)	0.2270498841750112
  (0, 65)	0.3302556949201404
  (0, 0)	0.14711028093232187
  (0, 41)	0.4381208086753198
  (0, 146)	0.28439025821789693
  (0, 200)	0.22570080459063252
  (0, 199)	0.3286756265160141
  (0, 186)	0.25442780850248164
  (0, 167)	0.12878351179937966
  (0, 30)	0.21757832752811587
  (0, 172)	0.21305924887561806
  (0, 130)	0.21641750334771273"
1525,"  (0, 49)	0.6621485786924104
  (0, 105)	0.5215836578786013
  (0, 77)	0.5380611002196672"
1526,"  (0, 85)	0.7306076426820657
  (0, 53)	0.37806246732692644
  (0, 99)	0.45849129551468687
  (0, 96)	0.2780207254696356
  (0, 199)	0.18913342221784452"
1527,"  (0, 35)	0.4859754924557107
  (0, 154)	0.6258088835090905
  (0, 0)	0.30010765600978806
  (0, 52)	0.3799251238769779
  (0, 66)	0.37119180635475896"
1528,"  (0, 55)	0.647043252942081
  (0, 192)	0.6441720258935185
  (0, 99)	0.40789389536786436"
1529,"  (0, 67)	0.27776983161175156
  (0, 180)	0.31338915585482796
  (0, 1)	0.24365840911430842
  (0, 134)	0.1800640956479458
  (0, 25)	0.2066955485763956
  (0, 0)	0.2745463932017884
  (0, 99)	0.1858716029862148
  (0, 52)	0.17378275821754602
  (0, 155)	0.18231806964053113
  (0, 152)	0.28080810650673044
  (0, 79)	0.3146479313307056
  (0, 124)	0.2961871141890526
  (0, 136)	0.27303385676894104
  (0, 66)	0.16978802369745602
  (0, 167)	0.12017191607650339
  (0, 17)	0.10872877541103684
  (0, 30)	0.20302913121756208
  (0, 172)	0.19881223782039273
  (0, 130)	0.20194592992853141"
1530,"  (0, 20)	0.3006622117501453
  (0, 2)	0.31706682271370873
  (0, 101)	0.26134913016377553
  (0, 166)	0.2463322432657844
  (0, 94)	0.23428560204228124
  (0, 142)	0.3056569050001318
  (0, 195)	0.3155186134452765
  (0, 38)	0.29494299980485594
  (0, 0)	0.1441830469281665
  (0, 49)	0.21044332046406367
  (0, 200)	0.22120975837839071
  (0, 117)	0.16537418596988115
  (0, 156)	0.2641954054668278
  (0, 30)	0.21324890422152476
  (0, 172)	0.20881974722926178
  (0, 130)	0.21211117838606522"
1531,"  (0, 157)	0.5223413032538182
  (0, 117)	0.2895705116903456
  (0, 120)	0.43219523574408086
  (0, 75)	0.21319050223699196
  (0, 30)	0.37339923368740735
  (0, 172)	0.3656437714362429
  (0, 130)	0.37140707360265657"
1532,"  (0, 162)	0.42067080213928326
  (0, 138)	0.42426781947104875
  (0, 187)	0.3075627555529124
  (0, 0)	0.19927622310008497
  (0, 49)	0.2908549303970012
  (0, 155)	0.26466679017094186
  (0, 200)	0.30573528651041837
  (0, 181)	0.34981760788952604
  (0, 199)	0.22261271293233897
  (0, 167)	0.17445070233230064
  (0, 17)	0.15783896815052145
  (0, 156)	0.18257299898806653"
1533,"  (0, 170)	0.32544651006895686
  (0, 28)	0.23740267411169247
  (0, 187)	0.251693013138888
  (0, 173)	0.6774370515039101
  (0, 25)	0.2455490605122976
  (0, 56)	0.24520410047529775
  (0, 0)	0.16307707007251357
  (0, 150)	0.20337502473093624
  (0, 10)	0.1632872962041006
  (0, 77)	0.19341492824258158
  (0, 66)	0.2017038586089374
  (0, 156)	0.14940803918374335"
1534,"  (0, 189)	0.24556404738889592
  (0, 28)	0.18602390537981683
  (0, 94)	0.41527658827170716
  (0, 173)	0.26541294541285626
  (0, 134)	0.1676167549314537
  (0, 25)	0.19240724802178147
  (0, 56)	0.19213694435514084
  (0, 4)	0.1946196275626807
  (0, 113)	0.2191960191824401
  (0, 83)	0.22630608240548217
  (0, 181)	0.448634046931269
  (0, 199)	0.14274816368409335
  (0, 105)	0.14691479129675067
  (0, 79)	0.14644858822567117
  (0, 167)	0.33559427604080966
  (0, 81)	0.18459761851713044
  (0, 75)	0.10790537811068061"
1535,"  (0, 167)	1.0"
1536,"  (0, 187)	0.5840848346012908
  (0, 134)	0.49640831510984995
  (0, 119)	0.5405636128220637
  (0, 156)	0.3467198742087635"
1537,"  (0, 133)	0.6846713988867006
  (0, 120)	0.5892920627007469
  (0, 156)	0.3153787993432976
  (0, 75)	0.29068222049036263"
1538,"  (0, 102)	0.47220485068501084
  (0, 69)	0.4283098991039578
  (0, 194)	0.4397482956059684
  (0, 0)	0.21885175349865116
  (0, 164)	0.3058945681595726
  (0, 155)	0.2906658417180002
  (0, 105)	0.2516167230142349
  (0, 79)	0.2508182704692678
  (0, 10)	0.2191338799650428"
1539,"  (0, 189)	0.5147103688545964
  (0, 185)	0.5779025343096944
  (0, 152)	0.5478959368278424
  (0, 77)	0.31766639645945904"
1540,"  (0, 28)	0.28194249928738896
  (0, 125)	0.33154844922525684
  (0, 56)	0.2912075745658863
  (0, 63)	0.308420497407949
  (0, 141)	0.5256282643518335
  (0, 169)	0.4447542155400645
  (0, 105)	0.22266774453486537
  (0, 75)	0.32708819792767174"
1541,"  (0, 84)	0.4553995544818328
  (0, 0)	0.21481894981201846
  (0, 150)	0.2679028339868163
  (0, 199)	0.479951179954986
  (0, 117)	0.2463917201983288
  (0, 77)	0.2547825500210612
  (0, 156)	0.39362588568280066
  (0, 177)	0.40469079001623376"
1542,"  (0, 101)	0.26064645806986847
  (0, 39)	0.32458177429222584
  (0, 14)	0.22751349222277534
  (0, 133)	0.2860063821978266
  (0, 56)	0.2162120009557359
  (0, 63)	0.22899202735280702
  (0, 150)	0.1793286529722117
  (0, 155)	0.19098045980175807
  (0, 117)	0.16492955535082834
  (0, 120)	0.2461637672976984
  (0, 116)	0.49432713960956093
  (0, 167)	0.12588158613569905
  (0, 58)	0.22362317382049107
  (0, 156)	0.26348508078105715
  (0, 81)	0.20772798591758435
  (0, 75)	0.12142608905069374"
1543,"  (0, 184)	0.3887647511461926
  (0, 193)	0.3231855984169639
  (0, 76)	0.38417742231099505
  (0, 164)	0.31741646703575677
  (0, 27)	0.5126097723256879
  (0, 199)	0.2536893278990788
  (0, 167)	0.19880392652891699
  (0, 17)	0.35974640638390043"
1544,"  (0, 131)	0.3602332485691425
  (0, 162)	0.40143232609930524
  (0, 187)	0.29349703320326564
  (0, 114)	0.2808758222367432
  (0, 4)	0.2896249965406578
  (0, 141)	0.2580514665396655
  (0, 146)	0.36761832036226044
  (0, 199)	0.4248639968224726
  (0, 117)	0.21811170677243552
  (0, 156)	0.17422341482696782"
1545,"  (0, 178)	0.726358669969005
  (0, 42)	0.2647491730909652
  (0, 49)	0.23862627688350843
  (0, 150)	0.20389286916147997
  (0, 181)	0.2870010600990427
  (0, 167)	0.2862493789632474
  (0, 58)	0.2542547984694983
  (0, 81)	0.2361823074666985
  (0, 75)	0.13805888393886356"
1546,"  (0, 131)	0.20146965382097787
  (0, 102)	0.2294730641123634
  (0, 180)	0.2428004677060067
  (0, 14)	0.1682726330603681
  (0, 166)	0.18170143795409568
  (0, 142)	0.22546094016282864
  (0, 114)	0.15708698432887094
  (0, 56)	0.15991386860014278
  (0, 63)	0.16936618139006043
  (0, 193)	0.3027091704171314
  (0, 0)	0.21270676228270807
  (0, 52)	0.13463942253957867
  (0, 164)	0.1486527801420857
  (0, 122)	0.18355794110852167
  (0, 49)	0.15522878137758664
  (0, 27)	0.24006589354304392
  (0, 200)	0.16317040211201062
  (0, 199)	0.1188080260509202
  (0, 88)	0.1772043328776222
  (0, 117)	0.2439690963135009
  (0, 79)	0.1218878564598646
  (0, 10)	0.10649048355488529
  (0, 119)	0.1519149235860949
  (0, 174)	0.1759062099279457
  (0, 57)	0.23504887671195346
  (0, 66)	0.13154447368216354
  (0, 167)	0.1862080859110397
  (0, 17)	0.08423838869246057
  (0, 156)	0.19487779771644623"
1547,"  (0, 129)	0.21586312003871425
  (0, 108)	0.17784266511259883
  (0, 114)	0.14278335703532935
  (0, 4)	0.1472310039294334
  (0, 193)	0.13757292414198416
  (0, 0)	0.1933386506373906
  (0, 99)	0.26178573678621153
  (0, 52)	0.3671393047927907
  (0, 164)	0.13511713317308097
  (0, 41)	0.14394929679390928
  (0, 150)	0.24111454073427419
  (0, 137)	0.17480427887998895
  (0, 155)	0.1283904303386947
  (0, 158)	0.2007866056388238
  (0, 79)	0.44315720749325577
  (0, 120)	0.1654885114945925
  (0, 167)	0.3385056467547805
  (0, 156)	0.26569966590629907
  (0, 75)	0.16326222948406288"
1548,"  (0, 61)	0.9177745446436376
  (0, 0)	0.23147997528089304
  (0, 117)	0.26550148090210496
  (0, 17)	0.18334631135343307"
1549,"  (0, 134)	0.41041344104868094
  (0, 197)	0.5591714294493038
  (0, 117)	0.3588671608267122
  (0, 17)	0.2478214809947422
  (0, 156)	0.573312300872701"
1550,"  (0, 104)	0.5145210210459538
  (0, 101)	0.4881475091626269
  (0, 187)	0.4156449204568783
  (0, 199)	0.3008421588404375
  (0, 17)	0.42661189742548467
  (0, 75)	0.22741088966406223"
1551,"  (0, 82)	0.2794405405042262
  (0, 125)	0.4532227318449396
  (0, 121)	0.2659847029677267
  (0, 65)	0.2971733204786548
  (0, 9)	0.2399437193152629
  (0, 95)	0.18746857868662822
  (0, 76)	0.2239374073132729
  (0, 49)	0.1932072740611709
  (0, 155)	0.17581118186186606
  (0, 117)	0.30365891966413894
  (0, 79)	0.30341822281637815
  (0, 89)	0.2074607465274907
  (0, 119)	0.1890826431464755
  (0, 66)	0.1637283302258273
  (0, 17)	0.20969654346491795
  (0, 75)	0.111781405527175"
1552,"  (0, 59)	0.4572291211069077
  (0, 67)	0.40759122883442983
  (0, 7)	0.4217312724277103
  (0, 183)	0.4252187312101009
  (0, 155)	0.26752813871944386
  (0, 136)	0.40064179953640516
  (0, 156)	0.18454682043091833"
1553,"  (0, 153)	0.4886200001068021
  (0, 35)	0.38243266328184167
  (0, 121)	0.4745388991719101
  (0, 48)	0.5301819946401686
  (0, 105)	0.27152333265529516
  (0, 17)	0.1870580634632788"
1554,"  (0, 14)	0.4650170595881271
  (0, 65)	0.659802546056757
  (0, 25)	0.4425395331286787
  (0, 0)	0.29390481194803286
  (0, 167)	0.2572906093138174"
1555,"  (0, 63)	0.6961755640722405
  (0, 96)	0.7178715651066685"
1556,"  (0, 43)	0.20895796135156
  (0, 171)	0.1945283825257571
  (0, 148)	0.20486188052576973
  (0, 35)	0.32191571915279205
  (0, 163)	0.18060655815200402
  (0, 9)	0.180169699612131
  (0, 134)	0.13038158960531243
  (0, 25)	0.2993300145790611
  (0, 95)	0.14076699988260305
  (0, 4)	0.15138591855207514
  (0, 0)	0.29819211073628615
  (0, 118)	0.21446444739367684
  (0, 141)	0.1348825507550185
  (0, 49)	0.29015217926786174
  (0, 105)	0.11427845643257108
  (0, 79)	0.22783163575891152
  (0, 10)	0.09952550551685178
  (0, 119)	0.14197897371427984
  (0, 66)	0.2458816939152669
  (0, 167)	0.08701460103742487
  (0, 17)	0.15745760444821602
  (0, 81)	0.1435902451963177
  (0, 75)	0.3357391027116888"
1557,"  (0, 115)	0.4758780150289586
  (0, 60)	0.39055808219553195
  (0, 35)	0.33754736142473724
  (0, 0)	0.20844785179923175
  (0, 150)	0.2599573747304195
  (0, 146)	0.4029666589068745
  (0, 117)	0.23908423731427064
  (0, 89)	0.3266862334295
  (0, 167)	0.18247974384666965
  (0, 156)	0.19097586678211964"
1558,"  (0, 161)	0.6291319100937565
  (0, 1)	0.48914672850869556
  (0, 164)	0.3851813317953668
  (0, 105)	0.3168348658680684
  (0, 66)	0.34085118027921346"
1559,"  (0, 139)	0.3559158198561399
  (0, 182)	0.31455991686576645
  (0, 28)	0.4664941304925168
  (0, 195)	0.3506180478830215
  (0, 95)	0.22690780879875427
  (0, 141)	0.2174224361003129
  (0, 150)	0.39963010391836
  (0, 105)	0.1842098941061775
